87
2,5,1
3,4,0
4,3,0
5,2,0
6,1,0
7,0,2
8,1,0
9,2,0
10,3,0
11,4,0
12,5,1
2,7,0
2,9,0
2,11,0
2,13,0
2,15,2
3,16,0
4,17,0
5,18,0
5,6,0
6,19,0
12,7,0
12,9,0
12,11,0
12,13,0
10,17,0
9,18,0
8,19,0
7,20,1
3,6,0
3,8,0
3,10,0
3,12,0
3,14,0
4,7,0
5,8,0
7,10,0
8,11,0
9,12,0
10,13,0
11,14,0
11,16,0
10,15,0
9,14,0
8,13,0
6,11,0
5,10,0
4,9,0
9,16,0
8,15,0
7,14,0
6,13,0
5,12,0
4,11,0
8,17,0
7,16,0
4,15,0
5,14,0
4,13,0
7,18,0
6,17,0
5,16,0
6,15,0
12,15,2
11,12,0
10,11,0
9,10,0
7,8,0
6,7,0
4,5,0
11,10,0
10,9,0
9,8,0
8,7,0
6,5,0
5,4,0
11,8,0
10,7,0
9,6,0
8,5,0
7,4,0
6,3,0
11,6,0
10,5,0
9,4,0
8,3,0
7,2,0
